modelid,rating_score,review_score,price_score,name,type,address1,address2,rating,themenum,latitude,longitude
1359,0.0,0.0,0.44516960596979405,고내촌(전통장체험),"관람,체험",제주 제주시 애월읍 애상로 203-1,고내리 730-2,0.0,24,33.4527035109712,126.341947683252
1360,0.0,0.0,0.44516960596979405,잔치마을두부,체험여행,제주 서귀포시 성산읍 신풍하동로 39,신풍리 500-1,0.0,24,33.3619393994034,126.840759353906
1361,0.0,0.0,0.44516960596979405,행복스케치교육농장,"관람,체험",제주 서귀포시 일주동로 8241,신효동 1060-1,0.0,24,33.2602398694095,126.606820337331
1362,0.0,0.0,0.44516960596979405,제주아름초코릿비누체험장,"관람,체험",제주 서귀포시 표선면 중산간동로 4726-16,성읍리 1418,0.0,24,33.3853210622906,126.792598773813
1363,0.0,0.145577426848741,0.44516960596979405,서귀포예래동마을,체험여행,제주 서귀포시 예래해안로 97 하예동어촌계,하예동 1744-1,0.0,24,33.2335230946263,126.374637287965
1364,0.0,0.0,0.44516960596979405,방선문체험월드,체험여행,없음,제주 제주시 오라이동 861-4,0.0,24,33.4733603142445,126.514033439118
1365,0.0,0.0,0.44516960596979405,강왓허브쉼팡,체험여행,제주 서귀포시 표선면 세화로 154,세화리 1652-6,0.0,24,33.317645157395,126.790430834735
1366,0.0,0.0,0.44516960596979405,그린터드림,"관람,체험",제주 제주시 관덕로 38,삼도이동 100-3,0.0,24,33.5129922884914,126.52332463932
1367,0.0,0.12539357025679385,0.44516960596979405,성읍지구문화마을,체험여행,제주 서귀포시 성읍정의현로136번길 14,표선면 성읍리 1640-2,0.0,24,33.3939691590188,126.798426837732
1368,0.0,0.21689524086008505,0.44516960596979405,교래 삼다수마을,체험마을,제주 제주시 조천읍 비자림로 702-57,교래리 580,0.0,24,33.4312956654652,126.678252019258
1369,0.0,0.20827421197713794,0.44516960596979405,하예마을,체험마을,제주 서귀포시 하예로 1-3,하예동 151,0.0,24,33.2434889841075,126.386075714602
1370,0.0,0.09937205334428101,0.44516960596979405,코리아호스랜드,"관람,체험",제주 서귀포시 표선면 녹산로 180-21,가시리 3108-2,0.0,24,33.3747666448787,126.757305250913
1371,0.0,0.0,0.44516960596979405,투어짱,"관람,체험",제주 제주시 용해로 50,용담2동 941-8,0.0,24,33.5125479047854,126.502686126972
1372,0.0,0.0,0.44516960596979405,평화통일의소,"관람,체험",제주 제주시 우도면 우목길 104,연평리 2393,0.0,24,33.5096628659221,126.94396334761
1373,0.0,0.0,0.44516960596979405,신풍마을,체험여행,제주 서귀포시 신풍하동로 286,성산읍 신풍리 71-5,0.0,24,33.3627197355882,126.864438730855
1374,0.0,0.0,0.44516960596979405,봄여름가을겨을,체험여행,제주 제주시 한경면 용수길 142,용수리 3533,0.0,24,33.329732104919,126.173031904415
1375,0.0,0.0,0.44516960596979405,내통우물,"관람,체험",제주 서귀포시 성산읍 온평상하로 59,온평리 856-1,0.0,24,33.4068845093241,126.901863030973
1376,0.0,0.19874410668856202,0.44516960596979405,김녕해녀 정보화마을,체험마을,제주 제주시 일주동로 2045 김녕리사무소,구좌읍 김녕리 1811,0.0,24,33.5515561853731,126.748938859196
